"ano","limite.inferior","limite.superior"
1902,3.31619127088662,3.4375
1923,3.3216655549399,3.42526041666666
1924,3.33680073971336,3.42361111111111
1927,3.38334778837814,3.37387179055948
1930,3.35623397254935,3.41360544217687
1931,3.34628551865799,3.4384259054949
1933,3.32851616518048,3.42006172839506
1935,3.31023102310231,3.46357142857142
1937,3.32889870356204,3.40641711229947
1938,3.3469387755102,3.40452295848227
1939,3.34202647333518,3.4134566511763
1940,3.30585883923989,3.41121495327103
1942,3.34216027874565,3.42991938438989
1943,3.37074829931973,3.43768707302357
1944,3.33647745512758,3.39455782312925
1948,3.33585083785697,3.4193610077382
1949,3.3462475108129,3.43400127226463
1950,3.32712089690245,3.4012453945457
1951,3.31143740340031,3.47654875762332
1953,3.38205778936578,3.43039280066803
1954,3.34721485411141,3.39358210411653
1955,3.32629310344828,3.41513292433538
1956,3.33434202358783,3.45440251572327
1957,3.33889345035952,3.4235964082155
1958,3.34009355416119,3.41244239631336
1959,3.32545174172631,3.41621259626799
1960,3.32549056856696,3.4130059711272
1961,3.29692556634304,3.40384615384615
1962,3.352943130481,3.43327239488117
1963,3.32528779936919,3.42118644067797
1964,3.3638746886879,3.40395151250295
1965,3.36567164179104,3.42458390714145
1966,3.3378682487725,3.42885374971501
1967,3.34849342628551,3.40940346611085
1968,3.33967391304348,3.41811339106426
1969,3.33008680923142,3.40424500101761
1970,3.31021897810219,3.39759036144578
1971,3.34984025559105,3.42052523811117
1972,3.36527886881383,3.43490545606246
1973,3.36347517730496,3.43078055964654
1974,3.33434202358783,3.40583109919571
1975,3.34026845637584,3.42426968670618
1976,3.32484752622508,3.43024036731497
1977,3.33076923076923,3.44318181818182
1978,3.33484933177499,3.40229868564541
1979,3.33292365529207,3.4347155653133
1980,3.34771181199752,3.42440060244765
1981,3.34185606060606,3.44598703606685
1982,3.33694192389497,3.41699242167694
1983,3.37016619355852,3.37562288919831
1984,3.33441455143252,3.41866028708134
1985,3.338895173454,3.43491245962897
1986,3.34658764686733,3.40235925116236
1987,3.31253115653041,3.40406593406593
1988,3.35107965019131,3.38175027898173
1989,3.36219770422378,3.37830924370713
1990,3.35855560578662,3.4077525053485
1991,3.31997175736104,3.42695773795388
1992,3.33914773785142,3.45689655172414
1993,3.30953885028427,3.43296056094777
1994,3.30477963997517,3.39089269612263
1995,3.34915677511313,3.4503810813209
1996,3.34483655199517,3.42047244094488
1997,3.33170379919811,3.43877551020408
1998,3.35924290748233,3.44602812618776
1999,3.34628551865799,3.40384615384615
2000,3.35279187817259,3.40200657325722
2001,3.33484933177499,3.39983735590565
2002,3.35199686765857,3.41421932826715
2003,3.3291182068871,3.41881398750768
2004,3.35298196948682,3.41394086589051
2005,3.34904902186674,3.41934149263545
2006,3.34202196382429,3.4105245114844
2007,3.33045011892032,3.42473958333333
2008,3.31132902823459,3.38353958266527
2009,3.35340630732405,3.40977462707771
2010,3.35998589955109,3.42928262244535
2011,3.34222585924714,3.39555545746858
2012,3.34285714285714,3.42162162162162
2013,3.33076923076923,3.40710200157692
2014,3.29495958688819,3.43679776490244
2015,3.3547625223661,3.41694352159468
