"ano","limite.inferior","limite.superior"
1902,3.37627135286148,3.47757749350333
1924,3.33843775103352,3.41721371261853
1925,3.3469387755102,3.43177570093458
1932,3.32040462427745,3.44439232642944
1933,3.34189139529625,3.41021768565774
1935,3.34317010309278,3.4375
1937,3.33585083785697,3.43402902811194
1938,3.34529362287812,3.46739581776206
1939,3.41295546558704,3.43636363636364
1940,3.35456986240071,3.40697674418605
1941,3.31211342534578,3.3756225366457
1942,3.33763995566802,3.39700374531835
1943,3.36527886881383,3.3846151081148
1944,3.33506621921256,3.45858895705521
1946,3.32042253521127,3.42276422764228
1948,3.39689073830605,3.40097402597403
1949,3.34126150864158,3.43506374857885
1951,3.32153947368421,3.40933156849768
1952,3.35388394946186,3.45362786921182
1953,3.34443339960239,3.41312741312741
1954,3.34285714285714,3.40893391664748
1955,3.3378682487725,3.44023399657202
1956,3.38007380073801,3.45217486279115
1957,3.37329316105606,3.40846078134464
1958,3.3382099827883,3.42753998853749
1959,3.3535660091047,3.42017999175525
1960,3.35169557678957,3.42326576434017
1961,3.34105960264901,3.418132363248
1962,3.33473362759786,3.38790778383394
1963,3.37921698582086,3.41757558603741
1964,3.32692307692308,3.43719660194175
1965,3.34762963010616,3.40118731462889
1966,3.32076931480804,3.41195264048111
1967,3.33869503832191,3.42006172839506
1968,3.37697730398899,3.43262269483628
1969,3.33793711698351,3.44514489442692
1970,3.33791720721783,3.42433608058608
1971,3.33860113787557,3.45083250233217
1972,3.33231995606801,3.42633167631835
1973,3.31264174387774,3.40373134328358
1974,3.30478087649402,3.4475333183469
1975,3.34277368203735,3.46030245746692
1976,3.32046767786204,3.40547445255474
1977,3.32458228334902,3.40938001355367
1978,3.30514194957316,3.38497202713963
1979,3.32237749810981,3.43175675675676
1980,3.32418684256919,3.41892655367232
1981,3.33699016712993,3.43398368320503
1982,3.325,3.451
1983,3.36645825995068,3.39746158984636
1984,3.32035496028502,3.41356184798808
1985,3.34919241040424,3.42031557639064
1986,3.33905843843266,3.40782624304434
1987,3.33796464051695,3.3873250167658
1988,3.3475900116144,3.4241747206537
1989,3.32097638538732,3.40538869510217
1990,3.33910826214349,3.37511755485894
1991,3.31523487399838,3.40136054421769
1992,3.32417582417582,3.42578125
1993,3.33180599284616,3.44295319416052
1994,3.31385281385281,3.39382031014617
1995,3.31143740340031,3.41609294320138
1996,3.3127779685756,3.45905315004761
1997,3.31288382953882,3.41846300587563
1998,3.33173298477792,3.43800465086235
1999,3.38799414348463,3.38012191174884
2000,3.36534634437486,3.44248638347646
2001,3.31487341772152,3.42348311138548
2002,3.34026845637584,3.40957716862073
2003,3.36527886881383,3.41764937106919
2004,3.36685866194063,3.40417097552568
2005,3.33823529411765,3.39611086203267
2006,3.34081965639697,3.39013250202927
2007,3.35716130530232,3.44269968161683
2008,3.36017898241,3.39746158984636
2009,3.33537510235986,3.42768862187166
2010,3.37331622835151,3.4268177621117
2011,3.32417582417582,3.41312741312741
2012,3.34773682379079,3.38710035937724
2013,3.37924986075293,3.41951056223153
2014,3.29813455451546,3.43268377693283
2015,3.36842105263158,3.40570068984956
