"ano","limite.inferior","limite.superior"
1920,3.33134125514964,3.40161617275578
1927,3.34573097036016,3.44100387043936
1931,3.31385281385281,3.38269454123113
1932,3.35032537960954,3.39337503554165
1933,3.34046692607004,3.42971887550201
1934,3.31907894736842,3.42501496365035
1936,3.32274159663866,3.42908309455587
1937,3.3061549345596,3.43021778584392
1938,3.33711122205832,3.41382834589844
1939,3.39089269612263,3.39497904548575
1941,3.34351761252446,3.44852309397953
1942,3.34364527122976,3.4306373553546
1943,3.36696551815724,3.43115151515152
1944,3.34724975222993,3.42168268411961
1945,3.34486243971151,3.42982456140351
1946,3.33955223880597,3.41719581336448
1947,3.34851485148515,3.44940140769821
1948,3.37334409670475,3.42000159845066
1949,3.32319902319902,3.38495951521127
1950,3.32111890999174,3.44371137275645
1951,3.34018556001061,3.40263927031152
1952,3.304582882962,3.40243502231557
1953,3.33292365529207,3.39206668582926
1954,3.31258585969085,3.45143852527619
1955,3.34628551865799,3.44318181818182
1956,3.34317010309278,3.4128001455251
1958,3.34985777443265,3.42306526877159
1959,3.33611111111111,3.41646141215107
1960,3.37959866220736,3.43229101252262
1962,3.32058065020514,3.41867469879518
1963,3.32142857142857,3.44542785619733
1964,3.30652380882744,3.43529411764706
1965,3.33869972868427,3.42475557006799
1966,3.32575295832383,3.40296495956873
1967,3.36350974930362,3.42086956521739
1968,3.31368631368631,3.45500279268936
1969,3.33733395478909,3.3928796574284
1970,3.30120776821756,3.42260919639369
1971,3.31512212643679,3.40792260683259
1972,3.36885245901639,3.41095057739592
1973,3.37073276087753,3.40921012137543
1974,3.33832335329341,3.41071349945689
1975,3.31239804241436,3.43358969860023
1976,3.33823300273827,3.44901938795853
1977,3.29487372385866,3.40428571428571
1978,3.335,3.44215909090909
1979,3.32990464081373,3.42586750788644
1980,3.34770015463085,3.42264430284857
1981,3.3246013667426,3.42487615370931
1982,3.32231112381661,3.4496587874592
1983,3.35876623376623,3.43942731277533
1984,3.34057971014493,3.44625358342113
1985,3.35822466915485,3.4352906404042
1986,3.35490445301543,3.42430278884462
1987,3.36568208391468,3.46971959065122
1988,3.30772821525792,3.37959866220736
1989,3.3612936573067,3.41511425732737
1990,3.34315687074136,3.42799075088232
1991,3.30737299861633,3.43501048218029
1992,3.3378682487725,3.42144242600659
1993,3.31679105121728,3.40974204735656
1994,3.34087555310906,3.40568044523463
1995,3.32484848484848,3.40682418098026
1996,3.325,3.43493150684932
1997,3.33991865194654,3.43827981524218
1998,3.34026845637584,3.47150959103681
1999,3.32484848484848,3.43171241069301
2000,3.34495289615074,3.42908309455587
2001,3.32208508403362,3.45006289467569
2002,3.34599125198263,3.44960118770377
2003,3.34063526834611,3.39158590142892
2004,3.33153368370759,3.41287520952848
2005,3.33517277222916,3.42300528213461
2006,3.30926724137931,3.42162698412698
2007,3.38177339901478,3.42162162162162
2008,3.31315826890607,3.41724509704126
2009,3.33301886792453,3.40677966101695
2010,3.325,3.40355462721946
2011,3.33008459411276,3.432
2012,3.34967320261438,3.40425385310784
2013,3.30926724137931,3.4389251564704
2014,3.35996835443038,3.43930222130242
2015,3.34970032776903,3.39858233369684
