"ano","limite.inferior","limite.superior"
1915,3.31046121871939,3.44651972157773
1916,3.35567570088477,3.42338728674246
1919,3.35904348573993,3.42123540913663
1921,3.37682207351944,3.46099493898349
1924,3.3236389018148,3.43680152934121
1925,3.31333333333333,3.40867606869327
1926,3.37604070305273,3.40875879756651
1927,3.30439286861548,3.45783838045842
1928,3.33234752687504,3.44004524886878
1929,3.3061549345596,3.38557659177398
1930,3.31651376146789,3.43489583333333
1931,3.33653500604397,3.39366167348668
1932,3.3496266894889,3.41502276176024
1933,3.34628551865799,3.38364532843056
1934,3.33828382838284,3.41033851884992
1935,3.33535071384233,3.40804697978988
1936,3.32385728714489,3.41295546558704
1937,3.36219770422378,3.43768707302357
1938,3.34807353645617,3.41798967809864
1939,3.34895866985419,3.43941155161105
1940,3.36487217710467,3.42197802197802
1941,3.32188065099457,3.42056942438622
1942,3.32953555878084,3.4186320754717
1943,3.33411654135338,3.36374549819928
1944,3.33535828375043,3.42103181566894
1945,3.29672131147541,3.41178406747586
1946,3.3495145631068,3.47336885365144
1947,3.35404461824428,3.41993056973658
1948,3.28644797709207,3.43805309734513
1949,3.33803501945525,3.41355348593166
1950,3.37811569940476,3.38419188239812
1951,3.32419786096257,3.44567365389231
1952,3.32575757575758,3.3970578151937
1953,3.29274843330349,3.42038904899135
1954,3.35186779275621,3.4105245114844
1955,3.37124775560782,3.39654203813149
1956,3.30416190925733,3.40194447454849
1957,3.33288219133807,3.44021340258567
1958,3.3241112308202,3.45995134754497
1959,3.38449284571603,3.40782624304434
1960,3.35714285714286,3.44610374783514
1961,3.35455245034531,3.38799414348463
1962,3.31315789473684,3.4116834691341
1963,3.38855559330289,3.40079555574286
1964,3.33100372736954,3.45467458696176
1965,3.33823529411765,3.41083800949554
1966,3.34105960264901,3.38269454123113
1967,3.31445229906121,3.43077382646835
1968,3.35754998523643,3.40394215151005
1969,3.33817918637433,3.41614241302778
1970,3.33467515605091,3.43636363636364
1971,3.31315789473684,3.43702411167513
1972,3.31584844681351,3.42964313456902
1973,3.40328434838885,3.432745091509
1974,3.32863187588152,3.47023552217619
1975,3.40260622422952,3.42431059878791
1976,3.3211940849132,3.42626262626263
1977,3.35217140528148,3.40864032008059
1978,3.3535767973554,3.45429261681528
1979,3.33936231104789,3.40440416367552
1980,3.30753303890782,3.4231145341785
1981,3.32842374800937,3.43117891359929
1982,3.35457216305545,3.46791093647675
1983,3.31855822349052,3.42201770736254
1984,3.34216027874565,3.39700374531835
1985,3.30926724137931,3.43844673162122
1986,3.33634144946283,3.4291183011171
1987,3.40698415112996,3.39307256443063
1988,3.34972745292369,3.40430402930403
1989,3.32863187588152,3.42430288364613
1990,3.33660948130742,3.4131256442561
1991,3.35251047075826,3.43070002733016
1992,3.32215036378335,3.3640727124183
1993,3.33553210202287,3.43793074805009
1994,3.32646612437066,3.41040843214756
1995,3.30380509338048,3.40801886792453
1996,3.37293871060188,3.38321680267356
1997,3.30781126743687,3.40186074429772
1998,3.3025078369906,3.39691974908424
1999,3.31467181467181,3.41335044929397
2000,3.31229461594375,3.45578174529329
2001,3.33771929824561,3.43320088275527
2002,3.32336059423769,3.45615560088834
2003,3.34463042757706,3.4284548783196
2004,3.34157465825447,3.39455782312925
2005,3.33976261127596,3.40977246763138
2006,3.37339030090794,3.45073012657938
2007,3.34219263417306,3.40136709721425
2008,3.36971830985915,3.44356243836534
2009,3.33552631578947,3.39911684782609
2010,3.32755785954441,3.38737323218824
2011,3.30755104380024,3.42893790227233
2012,3.37382676184002,3.41717791411043
2013,3.34245292500266,3.4618721002013
2014,3.34046692607004,3.45145631067961
2015,3.34569597069597,3.41846300587563
