"ano","limite.inferior","limite.superior"
1902,3.32042253521127,3.38921358629131
1920,3.3477314247769,3.41625615763547
1924,3.38925855513308,3.45023643323576
1926,3.34718172817311,3.45383980426008
1929,3.32306497781004,3.37629386637785
1932,3.33031468840702,3.44460873983739
1933,3.37073996405033,3.4563603582026
1934,3.3031727729217,3.42908309455587
1935,3.29755702937736,3.43709486212865
1937,3.31814188866583,3.42606506707453
1938,3.38519924098672,3.38387710823645
1939,3.37578038927653,3.43365616576161
1940,3.35195530726257,3.4375
1941,3.3574834244709,3.4346977285553
1942,3.32931749009399,3.45240263460072
1943,3.35237893670845,3.43075290914914
1945,3.36930639761677,3.40667161777448
1946,3.33486519031882,3.43789177252878
1947,3.34185606060606,3.43267917404646
1948,3.29230769230769,3.40334815142615
1950,3.34008840781202,3.39382716049383
1951,3.37629386637785,3.38328355463808
1953,3.34042408326038,3.44270636810212
1954,3.31743388488191,3.40193365877747
1956,3.33899895269681,3.42463968760376
1958,3.29893758300133,3.39456233421751
1959,3.34724975222993,3.41617455041843
1960,3.34980744544288,3.43021778584392
1961,3.37519381806139,3.39570310159574
1962,3.35602811974428,3.42994095443507
1963,3.34818215994032,3.43720836685439
1964,3.36776601668539,3.41737891737892
1965,3.3452380952381,3.40489340432446
1966,3.36217948717949,3.42196741699449
1967,3.3393644379133,3.42647058823529
1968,3.31367902372497,3.40433486264276
1969,3.31069235421567,3.4246732697031
1970,3.36307135961558,3.40565277587522
1971,3.33674092881763,3.42258901037287
1972,3.2888795318464,3.43889560661024
1973,3.3244140383426,3.40484574111334
1974,3.35069137311361,3.44004524886878
1975,3.31082819075125,3.39619365124805
1976,3.37290260878806,3.41609294320138
1977,3.3740430288828,3.44227683984703
1978,3.34185606060606,3.40369839098865
1979,3.34002684385808,3.41466283788716
1980,3.31088100126996,3.43860845839018
1981,3.33333333333333,3.41816671447696
1982,3.34820880567078,3.46745562130178
1983,3.34750022240014,3.42792265515791
1984,3.31644843428906,3.42868719611021
1985,3.35279187817259,3.43245624330141
1986,3.33700367949915,3.45661874070402
1987,3.32088195901105,3.41643246465679
1988,3.32867412140575,3.45271960230811
1989,3.35123960058404,3.40779818252713
1990,3.30711213645949,3.39579793550744
1991,3.32215036378335,3.42196741699449
1992,3.32575757575758,3.382541480507
1993,3.34851485148515,3.41748936562165
1994,3.3344983995936,3.41409484380881
1995,3.35539633523887,3.43161143080123
1996,3.36715780302876,3.39017341040462
1997,3.34824902723735,3.39631988676575
1998,3.37335834354552,3.42047244094488
1999,3.37332419396775,3.40677966101695
2000,3.37306709173187,3.3811611365606
2001,3.33365048381138,3.42908309455587
2002,3.37284894837476,3.42238331383759
2003,3.36187062185469,3.40265480253534
2004,3.32686084142395,3.43973628082205
2005,3.33561428821888,3.37195390107616
2006,3.33954154727794,3.4119170984456
2007,3.34640371229698,3.40865384615385
2008,3.33811176018243,3.42206081081081
2009,3.34305442332024,3.4227957977113
2010,3.32065058479532,3.42873235737691
2011,3.32547117223791,3.40583109919571
2012,3.33828382838284,3.41220689946018
2013,3.33035714285714,3.46928184108279
2014,3.34434073260648,3.3982864891196
2015,3.34529147982063,3.39822903331074
