"ano","limite.inferior","limite.superior"
1920,3.33096085409253,3.45327709279689
1922,3.35527521196251,3.41646141215107
1925,3.34104934149013,3.40742624618515
1926,3.3311259095848,3.43407285776859
1931,3.33552631578947,3.42152466367713
1932,3.32173309646763,3.43651941693557
1933,3.34357819504356,3.417502456761
1935,3.34364527122976,3.41073607178877
1939,3.36527886881383,3.42426901329589
1940,3.30998930773625,3.41809207940252
1941,3.32495523474528,3.42006172839506
1942,3.34628551865799,3.40406593406593
1943,3.31196581196581,3.38010096746707
1944,3.31322081836996,3.40933156849768
1945,3.32070055639858,3.43103429605045
1948,3.34848484848485,3.46376182790944
1951,3.34026845637584,3.45754831765642
1953,3.36415830812821,3.42058913620584
1954,3.34009355416119,3.38708575725706
1955,3.34103729238483,3.4466011042098
1956,3.37081339712919,3.40496625873749
1957,3.40539874077489,3.40827712664013
1958,3.37313569550412,3.41666666666667
1959,3.32155790036658,3.4408315565032
1960,3.34535945913019,3.44230769230769
1961,3.3459208823868,3.41666666666667
1962,3.31022500060225,3.42328811369509
1963,3.30651719210052,3.4389251564704
1964,3.33686116551411,3.42043074496812
1965,3.32657518582046,3.42983963809583
1967,3.33019991015274,3.45993098159509
1968,3.34388152077807,3.43942731277533
1971,3.35819846624446,3.41759002770083
1972,3.36258033359337,3.44573393280072
1973,3.35807976701575,3.41396981338479
1974,3.37402653241505,3.40132934633458
1975,3.36219770422378,3.43529411764706
1976,3.32076931480804,3.4131256442561
1977,3.32332155477032,3.43370969219495
1978,3.3573793755913,3.42336620865856
1979,3.32135032342508,3.44314381270903
1980,3.33580728812484,3.45702804746494
1981,3.30191131011905,3.40801886792453
1982,3.31385281385281,3.42888342176166
1983,3.36018412483831,3.46812504127236
1984,3.33979080790043,3.4054561101549
1985,3.3640727124183,3.38942307692308
1986,3.38920428880094,3.40428571428571
1987,3.31666666666667,3.43662842012357
1988,3.32937594350484,3.44269102990033
1989,3.33122126877107,3.41285719245106
1990,3.3431982038195,3.41407371948301
1991,3.3459208823868,3.42430288364613
1992,3.34761904761905,3.41040843214756
1993,3.33553210202287,3.40826771653543
1994,3.35414197672423,3.44482474779137
1995,3.34635926407334,3.43562973484848
1996,3.33535071384233,3.43882978723404
1997,3.34777822257806,3.40913213701828
1998,3.38267284544463,3.41385014299284
1999,3.37373737373737,3.46545877615844
2000,3.32800233123617,3.39089269612263
2001,3.34848484848485,3.410420683645
2002,3.32484848484848,3.42162162162162
2003,3.33174060382825,3.43180935147976
2004,3.33250511546331,3.41923138721316
2005,3.30974310974075,3.42736464825216
2006,3.31184553331192,3.43830433581883
2007,3.34297520661157,3.43834181252171
2008,3.28270724486242,3.50264757767253
2009,3.33611111111111,3.42908309455587
2010,3.33773631840796,3.41693811074919
2011,3.31651376146789,3.38367389418907
2012,3.32557815990402,3.44767441860465
2013,3.31629938044412,3.45151953690304
2014,3.33986882823571,3.41666666666667
2015,3.32509441596979,3.45114480695537
