"ano","limite.inferior","limite.superior"
1991,3.38821138211382,3.45738942826321
1994,3.34108020135147,3.41822170123586
1995,3.36971830985915,3.4140625
1998,3.34434073260648,3.40002269146459
1999,3.31847713635423,3.40199436705488
2001,3.35383064516129,3.41493432266436
2002,3.34824902723735,3.40376884836054
2003,3.35280692192397,3.3954388549475
2004,3.32318074543761,3.42007777623793
2005,3.34063526834611,3.40147081136131
2006,3.35088137635273,3.46003042931234
2007,3.38304540853883,3.40073982737361
2008,3.32127207542159,3.39631988676575
2009,3.32142857142857,3.4168175375072
2010,3.34354707792208,3.4202284707275
2011,3.34633146533831,3.44359876371813
2012,3.33599218860433,3.45908304043836
2013,3.28609147839394,3.41553548622514
2014,3.34755217609623,3.44117647058823
