"ano","limite.inferior","limite.superior"
1928,3.33880977174828,3.45133027002496
1929,3.32906231799651,3.42467440233568
1930,3.3600175120229,3.41575091575092
1931,3.31027842852955,3.40645842256624
1933,3.33991865194654,3.41755208333333
1934,3.32387640547616,3.44951636919436
1935,3.34285251065407,3.45327709279689
1936,3.36280124836301,3.43170219063064
1937,3.29095798319327,3.42473958333333
1939,3.32619047619048,3.45426356589147
1940,3.32096267147987,3.4375
1941,3.34139767478077,3.44818652849741
1942,3.31146092638692,3.40938510403157
1943,3.32738469075732,3.41080420265869
1944,3.34916114846401,3.43886076465356
1945,3.38318452380952,3.42839275175707
1946,3.34935085271383,3.403314299288
1947,3.32033185520129,3.43834171530437
1948,3.36651383118857,3.40451083228038
1949,3.37604070305273,3.42162162162162
1950,3.33903024180819,3.37651695428623
1951,3.36885245901639,3.43908891469867
1952,3.30806159165412,3.42410050166679
1953,3.30178883688961,3.41883531983338
1954,3.3749911782729,3.39362807865654
1955,3.29973624414879,3.412109375
1956,3.35372497928328,3.42458390714145
1957,3.32872939302246,3.3959018372996
1958,3.34166666666667,3.38811824131624
1959,3.38519924098672,3.41263310966798
1960,3.3382099827883,3.40677966101695
1961,3.32274159663866,3.47294715447155
1962,3.34956106249096,3.42948717948718
1963,3.33057851239669,3.42736070512282
1964,3.30727440412716,3.38929230363732
1965,3.34249067039806,3.42375694145262
1966,3.36741214057508,3.40101192138983
1967,3.35307591623037,3.42213341727602
1968,3.3298204151966,3.43882592269689
1969,3.35099365631842,3.4390931114388
1970,3.35491071428571,3.44752141982864
1971,3.33951917547839,3.41807124628079
1972,3.32698260768063,3.43667940853065
1973,3.32634032634033,3.41887799788503
1974,3.3591896956411,3.3923003274836
1975,3.32521087160262,3.43795620437956
1976,3.36046740700389,3.42860938883968
1977,3.35684680433222,3.47262319561971
1978,3.31126644736842,3.43175016268902
1979,3.3148560679039,3.42873558872878
1980,3.30737299861633,3.42739062592004
1981,3.32111609440482,3.43130817339817
1982,3.31893064193221,3.41745283018868
1983,3.37455651556891,3.42885532591415
1984,3.31403118040089,3.40899296463865
1985,3.3469387755102,3.39394644935972
1986,3.33876158096309,3.40186074429772
1987,3.30841121495327,3.38334778837814
1988,3.35997937080969,3.42197802197802
1989,3.33535071384233,3.41039008627869
1990,3.33805071138993,3.43707582739841
1991,3.33359981128119,3.43639734109151
1992,3.33096085409253,3.46428571428571
1993,3.33535071384233,3.45512425671034
1994,3.33509950779009,3.45071109238404
1995,3.36378664345918,3.42038904899135
1996,3.32249692927087,3.39572601555748
1997,3.33019491976723,3.43428325626412
1998,3.33954689304195,3.41666666666667
1999,3.3353635971852,3.46428571428571
2000,3.32607660803922,3.4171612194868
2001,3.34819110961536,3.4608973580717
2002,3.32349942431591,3.40488237221551
2003,3.34443339960239,3.41704918699229
2004,3.31294423753562,3.41503879218906
2005,3.3452606796779,3.42723371749849
2006,3.34270016762774,3.45270440881764
2007,3.33829787234043,3.41079459260522
2008,3.36229314420804,3.42612348178138
2009,3.34785459996253,3.42626262626263
2010,3.33825956125025,3.4465289209533
2011,3.33963479271865,3.40097159499111
2012,3.34692711814353,3.4188679245283
2013,3.30949985685201,3.38984872185678
2014,3.34179248075784,3.43762263170857
