"ano","limite.inferior","limite.superior"
1902,3.35406908608008,3.44857797286832
1925,3.35034938667946,3.40286792999161
1927,3.33968027590142,3.44513783777077
1931,3.33321467512683,3.43748951358078
1933,3.33033266081406,3.4193539597851
1935,3.35494103615428,3.43283164454996
1936,3.34014296529747,3.4188679245283
1950,3.33531669865643,3.40597375567983
1951,3.30681003584229,3.42991938438989
1952,3.33624225061165,3.40430402930403
1953,3.3406862745098,3.40826771653543
1954,3.33599168266155,3.42455242966752
1955,3.34076326435952,3.38558760716674
1956,3.34106679636835,3.42932524409595
1957,3.38007380073801,3.43825547726109
1958,3.34627877922541,3.4012332282977
1959,3.36344429844742,3.4044644094644
1960,3.3625619519634,3.4448275862069
1961,3.35755819037127,3.44038071533923
1962,3.38064516129032,3.3960097064878
1963,3.34729373017629,3.44463963963964
1964,3.35239221589076,3.44568543145686
1965,3.33707865168539,3.42003558777387
1966,3.33517535692117,3.41312741312741
1967,3.32577838827839,3.43895999842707
1968,3.36405843012389,3.40489356531236
1970,3.33664893617021,3.42383993950971
1971,3.33411654135338,3.40580059761963
1972,3.31751927286571,3.45032393105816
1973,3.34982385051697,3.40428571428571
1974,3.34018009377664,3.42047923668879
1975,3.3080060465889,3.43719660194175
1976,3.34021024984321,3.41755208333333
1977,3.33547953699876,3.44949709860546
1978,3.33582503574417,3.41334374612209
1979,3.38937198067633,3.41561051220358
1980,3.36038961038961,3.3838226704781
1981,3.31920485175202,3.42461538461538
1982,3.34018264840183,3.43889560661024
1983,3.34297496400439,3.416650772931
1984,3.33355467380151,3.44895542592021
1985,3.34088284357757,3.47756420285971
1986,3.2902468955425,3.37650200267023
1987,3.33229813664596,3.43605410285533
1988,3.32309850062396,3.44927463594895
1989,3.36054421768708,3.46237238779372
1990,3.34421167178334,3.40959672154211
1991,3.34658764686733,3.41015252621544
1992,3.3509234828496,3.43449962377728
1993,3.29700306112372,3.39663461538462
1994,3.35003329663671,3.40601503759398
1995,3.34615384615385,3.41196014723213
1996,3.31088007149929,3.4144850127551
1997,3.33954154727794,3.42200008005123
1998,3.32791524085285,3.37126266370151
1999,3.34801362490771,3.40529789142081
2000,3.33110687022901,3.4390243902439
2001,3.3260866873065,3.41780911019493
2002,3.35748407643312,3.38061097031396
2003,3.35096006074961,3.46428571428571
2004,3.30116062293964,3.42956739363604
2005,3.35012058034151,3.41105302118997
2006,3.33535071384233,3.4569865825433
2007,3.33530871131178,3.4554881018299
2008,3.36526946107784,3.40506757492063
2009,3.35525074412671,3.41499568304759
2010,3.31811953889035,3.41507627245051
2011,3.33929821123646,3.40970886017959
2012,3.32277136082923,3.46357142857142
2013,3.33800139518661,3.41015252621544
2014,3.32160804020101,3.46234585526988
2015,3.39144736842105,3.41850262499487
