"ano","limite.inferior","limite.superior"
1928,3.32076931480804,3.40149767305093
1933,3.33751943641094,3.41949152542373
1934,3.33052383166198,3.38929889298893
1937,3.31640060813379,3.43187307601232
1938,3.33967391304348,3.43535568043856
1939,3.33585083785697,3.40343549562357
1940,3.32521087160262,3.40677966101695
1941,3.33968562166543,3.43510741301069
1942,3.34615384615385,3.41665273740527
1943,3.32358668942667,3.37822014051522
1944,3.32163322909408,3.44569151393809
1945,3.34621968240592,3.44295374665748
1946,3.33211794234704,3.38398775374997
1947,3.31949763584771,3.41748030147311
1948,3.32545174172631,3.42042297325316
1949,3.34105960264901,3.43239091595558
1950,3.34848484848485,3.43966326591602
1951,3.30989943216954,3.40296495956873
1952,3.3693258646781,3.40697674418605
1953,3.34654300168634,3.44718390963029
1955,3.32957456361397,3.41335987136246
1956,3.35291375640993,3.40601503759398
1957,3.37057010785824,3.43880382079368
1959,3.32135616926814,3.43729182087343
1960,3.33476658476658,3.40677966101695
1961,3.37727539157902,3.43652314896497
1962,3.30970432991738,3.44861133812793
1963,3.32813616265986,3.4040776919582
1964,3.33443485289075,3.44316443956929
1965,3.31059219190136,3.44490395002583
1966,3.33966873507315,3.40893665158371
1967,3.32898845835847,3.46481620405102
1968,3.34172839231562,3.43010607452231
1969,3.34195365781336,3.45175444759844
1970,3.33129596234737,3.45230561066901
1971,3.36229314420804,3.44292848870874
1972,3.32416203957489,3.39913375077093
1973,3.31101800677483,3.40412342092603
1974,3.3509234828496,3.44314381270903
1975,3.30574891625334,3.39334273182958
1976,3.36371340841413,3.45749886298364
1977,3.34146341463415,3.45200727796187
1978,3.34466769706337,3.39992902087171
1979,3.33140407288317,3.41646141215107
1980,3.30242637400693,3.44278906577294
1981,3.32025688073394,3.42047244094488
1982,3.3170743543701,3.4323793783925
1983,3.33125784838874,3.38656217074743
1984,3.33057851239669,3.45800653594771
1985,3.33770097236931,3.41053921568627
1986,3.30543827056241,3.40149282785422
1987,3.33298002219756,3.42455293139304
1988,3.33506621921256,3.41578142299012
1989,3.33888111079713,3.46444335458558
1990,3.33868521155391,3.41758222474573
1991,3.37103295706949,3.42439891138279
1992,3.37822014051522,3.4582338902148
1993,3.3368099823681,3.4049987055185
1994,3.32331880884844,3.42516569708547
1995,3.33748703740827,3.42118644067797
1996,3.35478563914818,3.40438786565547
1997,3.34100210164419,3.41312562906948
1998,3.32862371299872,3.43557079862812
1999,3.34615384615385,3.42127876570844
2000,3.31023102310231,3.40360373720896
2001,3.33552631578947,3.41809207940252
2002,3.32906231799651,3.43869315637175
2003,3.38927213470939,3.43611522868587
2004,3.30735341384673,3.38247896141215
2005,3.31277367696735,3.41953187389327
2006,3.31863038277512,3.42665129036279
2007,3.3515095685249,3.4188430767817
2008,3.36955281178667,3.39089378091525
2009,3.31912673381093,3.44267515923567
2010,3.35527521196251,3.39603667553978
2011,3.36047107744012,3.41619826264691
2012,3.27492335324623,3.41407371948301
2013,3.33411654135338,3.43128803245436
2014,3.35875312150177,3.43925561797753
2015,3.35383064516129,3.41508313619012
