"ano","limite.inferior","limite.superior"
1921,3.30704521556257,3.38784874733269
1923,3.35227482344261,3.40902196435104
1924,3.3467292312316,3.45023643323576
1925,3.34191829484902,3.432
1926,3.34366140552141,3.40792255548443
1928,3.32830463453906,3.43562973484848
1929,3.31659021406728,3.42002604166666
1930,3.33725282887307,3.4012453945457
1931,3.38268792710706,3.41569156557455
1932,3.34105960264901,3.41103114791991
1933,3.34105960264901,3.44292762351664
1934,3.39865032116939,3.3950975224038
1935,3.31260400135583,3.43327239488117
1936,3.31088964511424,3.42304628709379
1937,3.34138651964868,3.41666666666667
1938,3.38260575334541,3.4295864699076
1939,3.347513987404,3.40742624618515
1940,3.335,3.42653492231106
1941,3.33585083785697,3.40492957746479
1942,3.36313520832104,3.44303677382743
1943,3.32076931480804,3.44602812618776
1944,3.31105358372147,3.41897056616234
1945,3.36146109282697,3.41395820954644
1946,3.34615384615385,3.40794634443289
1947,3.325,3.40814329222998
1948,3.33710407239819,3.45309168443497
1949,3.33404995904996,3.40909090909091
1950,3.29950817173072,3.39748855889833
1951,3.30998174771352,3.41619826264691
1952,3.36988711720243,3.43133891736314
1953,3.35748407643312,3.4232849731856
1954,3.39592417102515,3.39398426156443
1955,3.37343532684284,3.40116728509586
1956,3.30530896127499,3.4350628578564
1957,3.33623496302837,3.43895999842707
1958,3.3109736632083,3.45146752423226
1959,3.37336656338408,3.41083800949554
1960,3.35379123500545,3.43250293455737
1961,3.38582677165354,3.43077555958862
1962,3.3386338328917,3.37706611570248
1963,3.33294117647059,3.42876064209488
1964,3.31527935914118,3.39158355682199
1965,3.33938239920523,3.42612591911764
1966,3.34443339960239,3.40661587008418
1967,3.325,3.41874780345736
1968,3.31803797468354,3.40909090909091
1969,3.33880597014925,3.42306526877159
1970,3.35251561174647,3.42003047490498
1971,3.2895791597423,3.4375
1972,3.34171843181546,3.42297821684707
1973,3.34478941392229,3.41883531983338
1974,3.35958394657298,3.43146610484571
1975,3.34840272488788,3.432
1976,3.34640371229698,3.42449841605069
1977,3.33250511546331,3.42430288364613
1978,3.31214129455669,3.41717791411043
1979,3.31030107178378,3.3959018372996
1980,3.34063299232736,3.42956739363604
1981,3.31234559473657,3.41961414790997
1982,3.37211155378486,3.4293606591014
1983,3.33033266081406,3.42666499330656
1984,3.33812250112177,3.37174721189591
1985,3.31214328270574,3.42095029430248
1986,3.34836145310986,3.37819980176962
1987,3.3368320610687,3.3988292530848
1988,3.31731413145887,3.45915032679739
1989,3.36459069554733,3.45599874956767
1990,3.31975074128985,3.4045227857738
1991,3.34306046940783,3.41116751269036
1992,3.33755666255915,3.43625
1993,3.32612221094362,3.45545998119528
1994,3.36054421768708,3.41347549909256
1995,3.34489066497448,3.46285714285714
1996,3.324,3.42965587044535
1997,3.34359556926934,3.41470239656634
1998,3.29984833164813,3.41876410580482
1999,3.31315789473684,3.42449841605069
2000,3.34118274670992,3.41204979867222
2001,3.32968297844363,3.44398106402164
2002,3.32510543580131,3.43355104057617
2003,3.30233510227267,3.42984014209591
2004,3.31315789473684,3.40933156849768
2005,3.35106382978723,3.42262760429314
2006,3.35476032168186,3.39642890119619
2007,3.30123645784268,3.40931557176176
2008,3.37331622835151,3.41464235861327
2009,3.32639853924958,3.42570281124498
2010,3.3549896049896,3.44471040171766
2011,3.33032634651101,3.41042531115849
2012,3.36243689468466,3.41214057507987
2013,3.37736324636349,3.45094894827829
2014,3.31021897810219,3.41076665696506
2015,3.35996835443038,3.43700970846779
