"ano","limite.inferior","limite.superior"
1929,3.35199686765857,3.44979990174005
1934,3.3406862745098,3.41214057507987
1955,3.3284880040991,3.42920303580611
1964,3.33771929824561,3.44428597537892
1966,3.34858609730258,3.43553850607991
1967,3.3297668997669,3.40665210405604
1968,3.34848484848485,3.43877551020408
1969,3.33271392208584,3.4171552341867
1970,3.3455562461156,3.41122347480106
1971,3.29109695463021,3.40742624618515
1974,3.31126644736842,3.43501048218029
1976,3.34118550762933,3.42922476546779
1977,3.3495145631068,3.43110889292196
1978,3.375,3.44345429987994
1979,3.33510002280866,3.42970376786598
1980,3.34615384615385,3.42539793402117
1981,3.33832335329341,3.41758616396052
1982,3.352826862606,3.40452295848227
1983,3.33535071384233,3.4484649122807
1984,3.36698636696524,3.46446445898777
1985,3.35712073808018,3.41116353032887
1987,3.34695228313852,3.43654362114707
1988,3.35452322738386,3.41729631499873
1989,3.34105960264901,3.41814540281521
1990,3.34088284357757,3.48634025874547
1991,3.33411654135338,3.41994028720754
1992,3.30859228790202,3.42152466367713
1993,3.33057851239669,3.42056942438622
1994,3.32606650442703,3.41046831612907
1995,3.32404663746457,3.4000344571671
1996,3.32186499137719,3.411220804965
1997,3.36527886881383,3.38388324873096
1998,3.36255451434229,3.42419127172292
1999,3.33832335329341,3.44170541365371
2000,3.32863187588152,3.38795986622074
2001,3.34267198730692,3.4195822708225
2002,3.328173374613,3.4166354286559
2003,3.31333333333333,3.45661874070402
2004,3.3423566017316,3.40605693519079
2005,3.32748357963875,3.42449841605069
2006,3.31803278688525,3.41419850641162
2007,3.36325724319579,3.42744120215573
2008,3.31333333333333,3.42433608058608
2009,3.32511995804126,3.41166674271113
2010,3.32115850454353,3.4422509187002
2011,3.3737658674189,3.4244442551268
2012,3.3565306830574,3.45151953690304
2013,3.30249733546472,3.43373944932143
2014,3.35371179039301,3.40415237628613
2015,3.34004373045036,3.38743928758349
