"ano","limite.inferior","limite.superior"
1931,3.31636500754148,3.46715529593299
1932,3.29541859740245,3.38446081714668
1936,3.33409133255416,3.38606307222787
1940,3.31744421906694,3.42971872608908
1941,3.3615258613007,3.4105245114844
1942,3.32744073925271,3.40865384615385
1944,3.34692254999125,3.4102622557422
1945,3.31294831115968,3.4496587874592
1946,3.31584072219736,3.45069467292856
1947,3.32830586080586,3.42219590754074
1948,3.32061589188309,3.40424462924463
1949,3.33585083785697,3.43644152664961
1950,3.31298320447881,3.41672371303396
1951,3.34889622325447,3.42626262626263
1952,3.33695828681619,3.43128803245436
1953,3.34105960264901,3.43571104043617
1954,3.31072464675808,3.41145833333333
1955,3.34848484848485,3.42971887550201
1956,3.35791901188243,3.46438717532468
1957,3.33585083785697,3.39623411161553
1958,3.34824460654005,3.417109375
1960,3.36243065795941,3.42656670748311
1963,3.3566610455312,3.44105559384333
1973,3.33333333333333,3.45301607183634
1974,3.31788665240336,3.44593415542113
1976,3.30806451612903,3.42717157814529
1984,3.38271545031056,3.38533911424673
1986,3.31819146063949,3.42614348743105
1987,3.36621813589489,3.39748855889833
1988,3.37141380294596,3.36328329785689
1989,3.36242754808572,3.42047244094488
1990,3.33668207681365,3.42510179423626
1992,3.32162738577212,3.40450054884742
1993,3.35456657823094,3.42022538869321
1995,3.3749981396833,3.40075159307612
1996,3.32886821970113,3.41619439004418
1997,3.32311320754717,3.43196514409743
1998,3.3860388816653,3.40079790729042
2001,3.40409841575149,3.41740806642942
2005,3.34992204592629,3.42430278884462
2006,3.38593255561328,3.38799414348463
2009,3.34173574691254,3.42740750099074
2010,3.34174620560163,3.40899270732576
2011,3.34848484848485,3.44004524886878
