"ano","limite.inferior","limite.superior"
1919,3.37346437346437,3.41481481481481
1923,3.33484933177499,3.4193610077382
1924,3.36397787664408,3.42616904806086
1925,3.31843575418994,3.41157024620745
1927,3.33552631578947,3.43895999842707
1928,3.38390430276241,3.42971887550201
1931,3.33265704465988,3.38868316966721
1932,3.28984487238947,3.39931072016401
1933,3.31074873523537,3.41755208333333
1934,3.36318292831317,3.47817744443769
1935,3.35748407643312,3.43459672153707
1936,3.38431329390164,3.43847072879331
1937,3.31284916201117,3.41904812115047
1938,3.35789791603745,3.46063449539421
1939,3.31105840952956,3.42411324786324
1940,3.34063722017554,3.44333333333333
1941,3.3246013667426,3.41036850854998
1942,3.30424028268551,3.4497200868984
1943,3.32923820245801,3.42101907042022
1944,3.36038961038961,3.44337348697814
1945,3.35526868086309,3.41200925111816
1946,3.30573663624511,3.4203263603866
1947,3.33018132255614,3.42868719611021
1948,3.35385729731158,3.42723371749849
1949,3.35233431169188,3.42306526877159
1950,3.40113452205874,3.42183238448299
1951,3.32692307692308,3.40045304777595
1952,3.3246287545336,3.41360544217687
1953,3.33471662000491,3.43968342086955
1954,3.32664443221189,3.41508313619012
1955,3.32787979075477,3.42361111111111
1956,3.30511811023622,3.42406876790831
1957,3.33110687022901,3.40424462924463
1958,3.33122126877107,3.41845941180041
1959,3.30735551663748,3.42361111111111
1960,3.32691089479929,3.46505844563316
1961,3.31649834882113,3.4596948196001
1962,3.31098911220407,3.40073982737361
1963,3.3509234828496,3.42162162162162
1964,3.36990877262927,3.40728970383662
1965,3.34723598722608,3.44640408023316
1966,3.36224893430875,3.40056209435777
1967,3.36374549819928,3.42103181566894
1968,3.32897173987062,3.47276976495727
1969,3.33663366336634,3.40826771653543
1970,3.31466289873685,3.40405101904141
1971,3.33889376646181,3.43778801843318
1972,3.36527886881383,3.41214057507987
1973,3.30977941378499,3.39466292134831
1974,3.29924600177516,3.4131256442561
1975,3.34751642635504,3.41618765302085
1976,3.31651376146789,3.41694352159468
1977,3.30507376087896,3.42164167916042
1978,3.35654884854705,3.39746158984636
1979,3.34041338674435,3.40424462924463
1980,3.33644736934127,3.40452261306533
1981,3.40772255705484,3.43756393766288
1982,3.33981900452489,3.41616240530303
1983,3.3416763757473,3.3959018372996
1984,3.33855029471819,3.42545894151318
1985,3.33991865194654,3.42492500895415
1986,3.31476531406171,3.41748030147311
1987,3.34949350147281,3.42405275226552
1988,3.34361373588068,3.45362638673506
1989,3.33585083785697,3.42642519779697
1990,3.32935934255647,3.43930434782609
1991,3.37731247596149,3.4105245114844
1992,3.34185606060606,3.4323587048106
1993,3.31184553331192,3.42223901098901
1994,3.34934143870314,3.42502546835309
1995,3.35327785259352,3.40582884370758
1996,3.34758055491635,3.39001309314191
1997,3.35988861032058,3.45096149481453
1998,3.36245110821382,3.40824004459909
1999,3.35074470131471,3.4066978867142
2000,3.35454504421241,3.40750187165744
2001,3.34682993475201,3.43055629692893
2002,3.38795986622074,3.41778509311044
2003,3.34691546077685,3.43688809516216
2004,3.38939917453403,3.40898470688191
2005,3.30588555950187,3.36654135338346
2006,3.33986882823571,3.40546228647105
2007,3.38887670337876,3.43708364174685
2008,3.34209800543917,3.43902452288184
2009,3.34157350737509,3.43060370842213
2010,3.32111609440482,3.46107784431138
2011,3.31353230359733,3.44315006641435
2012,3.32253373662168,3.44827243122064
2013,3.33179869016061,3.4074014936152
2014,3.31610799110799,3.41666666666667
2015,3.35913436279157,3.45052572940603
