"ano","limite.inferior","limite.superior"
1927,3.31239804241436,3.41922473387168
1929,3.30604550380948,3.43743583009002
1931,3.33903024180819,3.41013431967885
1932,3.31023102310231,3.40654205607477
1933,3.33917910447761,3.44199444156579
1934,3.324431256182,3.43078001461233
1935,3.32714014543355,3.39748101500278
1936,3.32419786096257,3.44267515923567
1937,3.31026001405481,3.43538619744059
1938,3.35106382978723,3.44331395348837
1939,3.3279221924945,3.42857142857143
1940,3.38247896141215,3.40742624618515
1941,3.32350432982017,3.42245479806264
1942,3.36325724319579,3.44315632011967
1943,3.35714285714286,3.4765339273532
1944,3.33403361344538,3.42514134296901
1945,3.31165540540541,3.42386511599334
1946,3.32159624413146,3.44854581899323
1947,3.33945833835964,3.38491338582677
1948,3.32845058710042,3.41314176949647
1949,3.36155308482524,3.43152032520325
1950,3.328173374613,3.39219255020399
1951,3.33353236070627,3.45350502588704
1953,3.34185606060606,3.46604467416549
1954,3.31683708512116,3.45425556428347
1955,3.33301886792453,3.45145631067961
1956,3.32420542400937,3.42219590754074
1957,3.33484933177499,3.42495680853903
1958,3.31350523359714,3.42326576434017
1959,3.29824456009663,3.47628711307644
1960,3.36043034391487,3.42241379310345
1961,3.32521087160262,3.39911684782609
1962,3.31067961165049,3.42278148742998
1963,3.32527808941707,3.42197802197802
1964,3.34173574691254,3.42184322033899
1965,3.34306046940783,3.42467748397435
1966,3.32442119405182,3.4326477510301
1967,3.31345545977011,3.44346398980242
1968,3.34185606060606,3.40478634105394
1969,3.3276404494382,3.42149160874484
1970,3.31368225686711,3.40464114581608
1971,3.31333885412833,3.38486842105263
1972,3.34867325027137,3.41477272727273
1973,3.33084269131285,3.44269102990033
1974,3.35045204268914,3.40906761491691
1975,3.35856606148566,3.4012689150893
1976,3.34881957381351,3.36683372448446
1977,3.37404855798917,3.41244737143758
1978,3.3507840333947,3.46522234891676
1979,3.35383064516129,3.42691460901066
1980,3.33205268935236,3.41457712823601
1981,3.33810945273632,3.44172458037343
1982,3.34055109720807,3.41757105551708
1983,3.34352061337356,3.37869681618411
1984,3.36421025508889,3.42332326483817
1985,3.31727586807571,3.40933156849768
1986,3.32776748141485,3.41659713419233
1987,3.34537222245173,3.4371982413098
1988,3.3218720449908,3.41490185241189
1989,3.31988738289814,3.41745951505602
1990,3.32201550738896,3.40842580173149
1991,3.33411654135338,3.46411629167796
1992,3.3742077518435,3.42516252955082
1993,3.32858193586349,3.39316239316239
1994,3.36105673926556,3.45426861449472
1995,3.39486449889672,3.41479377104377
1996,3.33795163411388,3.41553548622514
1997,3.31795269822444,3.4186320754717
1998,3.32748357963875,3.43816489361702
1999,3.3398021179326,3.41128230247435
2000,3.3393644379133,3.39644465513155
2001,3.31481989159902,3.41323804677504
2002,3.34088284357757,3.41810618520734
2003,3.3411081645773,3.42241851365013
2004,3.31764797646639,3.4155569656607
2005,3.35420140410837,3.42948717948718
2006,3.32764884041702,3.37333333333333
2007,3.34615384615385,3.45093264133786
2008,3.34195837275307,3.37749765551536
2009,3.33333333333333,3.43775083113684
2010,3.30866587875417,3.46733108372129
2011,3.33403361344538,3.43660552021808
2012,3.36310850439883,3.40547445255474
2013,3.34046692607004,3.42917967874979
2014,3.33733395478909,3.42089357080225
2015,3.32128644949731,3.44314066761121
