"ano","limite.inferior","limite.superior"
1915,3.32146816598036,3.41277200029571
1925,3.3482905982906,3.42920578533367
1926,3.33052383166198,3.40099627814089
1927,3.35409291191063,3.41085336418831
1930,3.31975074128985,3.38474138067352
1932,3.33663366336634,3.45426897875438
1933,3.32916338806621,3.35125600565812
1937,3.32464473450891,3.45866816832965
1938,3.36041083099907,3.41015252621544
1939,3.29862577615398,3.41533370969765
1940,3.35113424402364,3.44784345682348
1941,3.32906231799651,3.40898273093571
1942,3.32080924855491,3.41334374612209
1943,3.34076326435952,3.37653190590224
1944,3.34384739282391,3.44235200283588
1945,3.35029834273199,3.41916342262855
1946,3.33030303030303,3.44736842105263
1949,3.3185595567867,3.42991938438989
1951,3.33052383166198,3.40399693088485
1952,3.30569886554465,3.43992911899857
1953,3.32115850454353,3.44362745098039
1954,3.32150776053215,3.38328573629434
1955,3.33833710946088,3.43625
1956,3.31245861222835,3.42885532591415
1957,3.33057851239669,3.4299224768419
1958,3.34772406842976,3.40855488850772
1959,3.34026845637584,3.43564091953214
1960,3.32365057330352,3.40199436705488
1961,3.34429106372176,3.41554566123532
1962,3.30456637637815,3.45400946514025
1963,3.32025375939849,3.44340555484307
1964,3.37281795511222,3.42086956521739
1965,3.36404945763018,3.42197802197802
1966,3.35609256242565,3.41760178803999
1967,3.31554931554932,3.44404225456157
1968,3.30781631331182,3.3755077494972
1969,3.35611308743681,3.44820839209856
1970,3.3344327176781,3.45666131621188
1971,3.32800641413123,3.42354104601565
1972,3.34916114846401,3.4375
1975,3.35420358842286,3.42168674698795
1976,3.36527886881383,3.42647273471288
1977,3.31853087760371,3.40609407547353
1978,3.3406862745098,3.37984488872972
1979,3.35561660429333,3.43444855279898
1980,3.30854804996681,3.43638470846779
1981,3.28957239309827,3.42715529714197
1982,3.40380806118327,3.40667161777448
1983,3.33910826214349,3.41288149147474
1984,3.35603357728274,3.40390177590097
1985,3.32133159214809,3.4448275862069
1986,3.32229681509595,3.42361111111111
1987,3.32194398981633,3.42626262626263
1988,3.33803501945525,3.39719903895055
1989,3.34391890007807,3.42361111111111
1990,3.36616381816068,3.41863297986637
1991,3.34596462983071,3.4081156716418
1992,3.34270833333334,3.44642857142857
1993,3.34285714285714,3.44114714908379
1994,3.31598560502213,3.4204066709057
1995,3.335322223681,3.45181612573217
1996,3.35727025874291,3.43408806380826
1997,3.33272905387544,3.41527722837553
1998,3.33043166220927,3.40132033907061
1999,3.33411654135338,3.42449841605069
2000,3.3491773308958,3.44075247323485
2001,3.33611111111111,3.4046431046431
2002,3.30573663624511,3.45198818967982
2003,3.35569728014486,3.4405500085443
2004,3.30456435129049,3.38321680267356
2005,3.34354905458934,3.37224283652855
2006,3.34920634920635,3.38370984455958
2007,3.32316309397959,3.41522988505747
2008,3.31907894736842,3.39605063386107
2009,3.31951457962814,3.42370199515627
2010,3.34055469462887,3.4212455934195
2011,3.33390662172878,3.42905347886069
2012,3.30564275555864,3.4131256442561
2013,3.32401311465065,3.38911704312115
2014,3.35297166060881,3.45256998942506
