"ano","limite.inferior","limite.superior"
1939,3.34383437040127,3.38049250396658
1940,3.32297551789077,3.41617455041843
1943,3.37003058103976,3.42144452449568
1946,3.37438293370945,3.39994896033017
1947,3.36229314420804,3.45811242960787
1948,3.38928571428571,3.41536458333333
1949,3.34018264840183,3.42079933747186
1950,3.34191829484902,3.4119280453351
1952,3.34200732282498,3.44852440380735
1953,3.31026001405481,3.4049987055185
1954,3.33732499429803,3.42038904899135
1955,3.32521087160262,3.46239476145931
1956,3.32215036378335,3.39593160346104
1957,3.34689031285337,3.40028235772165
1958,3.31333333333333,3.42971887550201
1959,3.30976362771706,3.41098370587836
1960,3.34057971014493,3.38126564157962
1961,3.32625462820477,3.40601503759398
1962,3.36278477674773,3.42100533530648
1963,3.31843575418994,3.42586750788644
1964,3.31516768292683,3.41040843214756
1965,3.3211940849132,3.43128803245436
1966,3.35141622039702,3.41659983961507
1967,3.31143740340031,3.46017699115044
1968,3.34056866383882,3.4354027853313
1969,3.35759351059035,3.39901410042938
1970,3.30969081783822,3.37373598247398
1971,3.35556237427607,3.42960822219185
1972,3.37481497145274,3.39163822525597
1973,3.33131067961165,3.4114911989826
1974,3.30684326710817,3.42540333441069
1975,3.35505287631344,3.40010546350723
1976,3.36256942317717,3.42971887550201
1978,3.34297520661157,3.43426974180792
1979,3.33472222222222,3.46522234891676
1980,3.3908659685144,3.40757749712974
1982,3.37161356999828,3.45073746312684
1983,3.34974032402863,3.42429544560299
1985,3.33294117647059,3.42647058823529
1986,3.37605737039102,3.38487392069516
1987,3.35926449787836,3.41689660570836
1988,3.37196667873959,3.43377385496183
1989,3.3640727124183,3.4501556633816
1990,3.3355837682567,3.42586750788644
1991,3.36139692747068,3.43963035622792
1992,3.32146816598036,3.4269821976274
1993,3.31046981285265,3.42690017886316
1994,3.3251248908641,3.41516610315947
1995,3.3105362540669,3.40542129665008
1996,3.32025375939849,3.42748427669413
1998,3.34025263951735,3.44040762463494
1999,3.31949553336837,3.42512762045625
2000,3.33476658476658,3.39891135303266
2001,3.35415797874635,3.42873586052164
2003,3.32407770800627,3.40697984568745
2004,3.37822014051522,3.43128803245436
2005,3.33144936016811,3.41757105551708
2006,3.32009752088662,3.42656670748311
2007,3.30622595313047,3.42333101996867
2008,3.3735897088878,3.42936670700518
2010,3.31727021886886,3.40818144888443
2011,3.3354385148159,3.40186074429772
2012,3.34115772852874,3.40797903726089
2013,3.36047107744012,3.43391685332676
2014,3.34785459996253,3.40878874856487
2015,3.34063526834611,3.43273549667411
