"","ano","limite.inferior","limite.superior","genero"
"1",1902,3.31619127088662,3.4375,"Action"
"2",1923,3.3216655549399,3.42526041666666,"Action"
"3",1924,3.33680073971336,3.42361111111111,"Action"
"4",1927,3.38334778837814,3.37387179055948,"Action"
"5",1930,3.35623397254935,3.41360544217687,"Action"
"6",1931,3.34628551865799,3.4384259054949,"Action"
"7",1933,3.32851616518048,3.42006172839506,"Action"
"8",1935,3.31023102310231,3.46357142857142,"Action"
"9",1937,3.32889870356204,3.40641711229947,"Action"
"10",1938,3.3469387755102,3.40452295848227,"Action"
"11",1939,3.34202647333518,3.4134566511763,"Action"
"12",1940,3.30585883923989,3.41121495327103,"Action"
"13",1942,3.34216027874565,3.42991938438989,"Action"
"14",1943,3.37074829931973,3.43768707302357,"Action"
"15",1944,3.33647745512758,3.39455782312925,"Action"
"16",1948,3.33585083785697,3.4193610077382,"Action"
"17",1949,3.3462475108129,3.43400127226463,"Action"
"18",1950,3.32712089690245,3.4012453945457,"Action"
"19",1951,3.31143740340031,3.47654875762332,"Action"
"20",1953,3.38205778936578,3.43039280066803,"Action"
"21",1954,3.34721485411141,3.39358210411653,"Action"
"22",1955,3.32629310344828,3.41513292433538,"Action"
"23",1956,3.33434202358783,3.45440251572327,"Action"
"24",1957,3.33889345035952,3.4235964082155,"Action"
"25",1958,3.34009355416119,3.41244239631336,"Action"
"26",1959,3.32545174172631,3.41621259626799,"Action"
"27",1960,3.32549056856696,3.4130059711272,"Action"
"28",1961,3.29692556634304,3.40384615384615,"Action"
"29",1962,3.352943130481,3.43327239488117,"Action"
"30",1963,3.32528779936919,3.42118644067797,"Action"
"31",1964,3.3638746886879,3.40395151250295,"Action"
"32",1965,3.36567164179104,3.42458390714145,"Action"
"33",1966,3.3378682487725,3.42885374971501,"Action"
"34",1967,3.34849342628551,3.40940346611085,"Action"
"35",1968,3.33967391304348,3.41811339106426,"Action"
"36",1969,3.33008680923142,3.40424500101761,"Action"
"37",1970,3.31021897810219,3.39759036144578,"Action"
"38",1971,3.34984025559105,3.42052523811117,"Action"
"39",1972,3.36527886881383,3.43490545606246,"Action"
"40",1973,3.36347517730496,3.43078055964654,"Action"
"41",1974,3.33434202358783,3.40583109919571,"Action"
"42",1975,3.34026845637584,3.42426968670618,"Action"
"43",1976,3.32484752622508,3.43024036731497,"Action"
"44",1977,3.33076923076923,3.44318181818182,"Action"
"45",1978,3.33484933177499,3.40229868564541,"Action"
"46",1979,3.33292365529207,3.4347155653133,"Action"
